년도,코스피지수,코스닥지수
1980,106.87,0
1981,131.3,0
1982,128.99,0
1983,121.21,0
1984,142.46,0
1985,163.37,0
1986,272.61,0
1987,525.11,0
1988,907.2,0
1989,909.72,0
1990,696.11,0
1991,610.92,0
1992,678.44,0
1993,866.18,0
1994,1027.37,0
1995,882.94,0
1996,651.22,0
1997,376.31,972.5
1998,562.46,751.8
1999,1028.07,2561.40
2000,504.62,525.8
2001,693.7,722.1
2002,627.55,443.6
2003,810.71,448.7
2004,895.92,380.33
2005,1379.37,701.79
2006,1434.46,606.15
2007,1897.13,704.23
2008,1124.47,332.05
2009,1682.77,513.57
2010,2051.00,511
2011,1826.00,500
2012,1997.05,496.32
2013,2011.34,499.99
2014,1915.59,542.97
2015,1961.31,682.35
2016,2026.46,631.44
2017,2467.49,798.42
2018,2041.04,675.65
2019,2197.67,669.83
2020,2873.47,968.42
2021,2977.65,1033.98
